Name,Height,FederalStateid
Ochsenkopf,2209,2
Ochsenkogel,1183,8
Ochsenkogel,1184,8
Ochsenkogel,1409,8
Ochsenbergler Kopf,2660,2
Ochsenberg,954,4
Ochsenberg,1382,3
Obristkopf,1034,3
Oblitzen,2281,3
Obersteinköpfl,830,3
Obersberg,1332,5
Oberreintalschrofen,2375,2
Ober Lavanter Kolben,1428,2
Obere Wildgruben Spitze,2518,1
Oberer Saubichl,473,5
Oberer Fratres Berg,680,6
Oberer Eisenkopf,2200,2
Oberberg,1305,2
Notten,1498,5
Nösslachjoch,1719,2
Norbert Höhe,1595,2
Nöckel,1803,2
Nockberg,1447,6
Nob,1741,1
Niklasberg,534,5
Niederwechsel,1637,8
Nieder Schöckl,1090,8
Niedere Künzelspitze,2088,1
Niederjoch,2008,2
Niederer Tauern,2462,3
Neunernock,1083,6
Neunerkopf,1771,3
Neuberg,2257,6
Nestbauern Riegel,691,5
Neederkogl,2407,2
Nederjoch,2001,2
Nebelstein,917,5
Nebelstein,732,5
Nebelkareck,2190,3
Nazogl,1874,8
Natterwand,1320,2
Narrenkogel,1649,2
Napfenkogel,1967,10
Nachtsöllberg,1791,2
Muttekopf,2695,2
Gaflunamutt,1761,1
Murspitzen,1830,8
Muntanitz,3133,2
Mühlstein,969,3
Mühlhauserhöhe,1952,3
Mühlberg,686,5
Mühlberg,762,8
Mühlbachernock,1560,8
Mugelkuppe,1383,8
Muckenkogel,946,5
Moserschlag,1193,8
Mosermandl,2586,3
Moser Kogel,1294,8
Mosereck,886,4
Mosereck,1694,3
Möser Berg,1051,4
Moschelitzen,2176,6
Möschacher Wipfel,1547,6
Mörsbachspitze,1796,8
Morgenkogel,2256,2
Moralpenkogel,1159,4
Hinterer Mooskofel,2447,6
Mooseck Höhe,1925,3
Mondscheinspitze,2021,2
Mönchsberg,453,3
Möllkopf,2008,6
Mokarspitze,2244,6
Mohnenfluh,2507,1
Mohar,2442,6
Mödringberg,1669,6
Moderberg,907,5
Mittlerer Zellerhut,1359,8
Mittlerer Ramolkogel,3053,2
Mittlere Ödkarspitze,2678,2
Mittlere Hintereisspitze,2791,2
Mitterriegel,961,8
Mittergrotzen Spitze,1376,2
Mittereckmauer,1052,4
Mitterberg,636,8
Mitterberg,394,5
Mitterberg,1745,8
Mitterberg,1419,3
Mitterberg,1136,8
Mitteralpe,1426,8
Mittagsspitze,2285,6
Mittagspitze,1043,6
Mittagsnock,1333,6
Mittagsnock,806,6
Mittagskopf,2546,2
Mittagskogel,834,5
Mittagskofel,631,6
Mittagskofel,2226,6
Misseck,1807,6
Mirnock,1867,6
Millstätter Alpe,2031,6
Miessriegel,1091,8
Miesljoch,2326,2
Miesenberg,991,4
Mieseck,1127,4
Michelberg,325,5
Meßnerin,1728,8
Mentenkarspitze,1884,3
Mellenkopf,2419,6
Melcherspitz,2038,8
Meiseleck,677,8
Mehlstüblberg,948,8
Mauthnereck,958,8
Mauthner Alpe,1720,6
Matzingthaler Höhe,882,5
Matschacher Gupf,1485,6
Masenberg,1243,8
Marterlkopf,1854,3
Martennock,1264,6
Marislwand,2381,3
Marienberg,2515,2
Maria Saaler Berg,681,6
Maresenspitze,2719,6
Marchkopf,2466,2
Marbachhöhe,1707,3
Mannsberg,1530,4
Manlitz Kogel,1961,3
Manhartsberg,485,5
Mandlkogel,2243,3
Mandelstein,865,5
Maldonkopf,2149,2
Makernispitze,2378,6
Maisberg,857,5
Maileskar Spitze,1742,2
Mahlleiten Berg,491,5
Mahdtalkogel,1073,8
Magdalensberg,919,6
Madritschengupf,1817,10
Mahderkopf,1897,6
Madererspitze,2205,1
Madereck,818,8
Luxstein,1485,8
Lutschaun,1015,8
Lurgrotte,888,8
Lunz Berg,853,5
Lumkofel,2222,6
Lugauer,2012,8
Lüftner Berg,696,4
Loreck,1812,2
Loreakopf,2024,2
Lonitzberg,423,5
Lones Kopf,2120,2
Luibiskogel,2816,2
Lodron,1697,2
Lisgele Spitze,2129,6
Lineck Berg,658,8
Lindkogel,545,5
Noerdliche Linderspitze,2303,2
Linden Berg,660,5
Lignitzhöhe,2044,8
Liezener Eck,1225,8
Lickerplanhöhe,1569,5
Lichte Tanne,1039,3
Lichtenberg,890,4
Lesshöhe,2053,3
Lerchwand,2083,3
Lerch Kogel,657,8
Lerchkogel,1151,8
Lerchkogel,695,8
Lercheck,770,8
Lercheck,1295,3
Leonsberg,1687,4
Leobner,1474,8
Lenzkogel,995,8
Lenkenspitze,2091,6
Leichenberg,638,8
Lawinenstein,1188,8
Lavantspitze,2477,2
Laucheck,1520,6
Laubkogel,2185,3
Lattermaißberg,441,5
Latschur,2146,6
Latschingkogel,1903,3
Lasörling,3057,2
Lärchriegel,2275,6
Larcheck,1553,2
Larchberg,1221,2
Larainferner Spitze,2822,10
Langweid Kogel,1775,3
Langser Höhe,945,8
Langschneid,2461,2
Langlocker Mauer,1092,4
Langer Berg,1090,4
Langennock,1704,6
Lamsen Spitze,1872,2
Lampelhöhe,471,9
Lakenkogel,1630,3
Laka,1670,6
Laitenkopf,1919,6
Lahngangkogel,1654,8
Lehnerkopf,1867,10
Lahnerhorn,1483,3
Lahneck,1918,3
Lagels Berg,1978,4
Lackner Miesberg,2066,4
Lackenberg,922,4
Lacken Berg,878,8
Lachalpe,1411,8
Labenberg,1398,3
Laba,1989,2
Laaggers,1673,2
Laa Berg,988,4
Kuppel,1559,2
Kulmspitze,1091,4
Kulmriegel,741,5
Kulm Kogel,1132,8
Kulmberg,1120,8
Kulmberg,681,8
Kuku,1383,6
Kuhleitentörl,2274,2
Kuhleitenkopf,2418,6
Kühkarl,1973,3
Kuhberg,610,5
Kühberg,683,3
Kuhberg,931,4
Kühbacheck,1770,8
Kuhalm,1710,6
Küchelspitze,2668,2
Krottenspitzen,2394,10
Kröndlhorn,2376,3
Krieriegel,591,9
Kreuztaxen,1185,2
Kreuzspitze,3112,2
Kreuzspitze,1810,8
Kreuzspitze,2418,6
Kreuzschober,1279,8
Kreuzkopf,2871,6
Kreuzkogel,1137,5
Kreuz Kogel,734,8
Kreuzkogel,1896,3
Kreuzkogel,2015,3
Kreuzkogel,2243,3
Kreuzkogel,2654,3
Kreuzkofel,2540,2
Kreuzjoch,1773,2
Kreuzjoch,2463,2
Kreuzjoch,2565,2
Kreuzjoch,2337,2
Kreuzhöhe,1986,3
Kreuzelhöhe,2315,6
Kreuzecke,2708,2
Kreuzeck,886,4
Kreuzeck,1812,3
Kreuzeck,2358,6
Kreuzbühel,1923,6
Kreuzberg,1527,10
Kreuzberg,1497,6
Kreuzberg,1016,5
Kreuzberg,631,8
Kreuz,1804,4
Kreutherhöhe,1417,6
Kressenberg,842,5
Krenken Kogel,855,5
Kremsmauer,1555,4
Kremserkogel,745,8
Kreischberg,1764,8
Kraxenkogel,1943,3
Krautgartenkogel,1736,8
Krauser Schöckl,975,8
Kramkogel,2071,3
Krahstein,1410,8
Krähbergerzinken,1740,8
Kragenjoch,1276,2
Kojenstein,1287,1
Kosterberg,1736,2
Kösslberg,1615,5
Korein,1812,3
Koppen,973,3
Königsleiten,2222,3
Königskogel,1229,8
Königsberg Horn,1508,3
Königsbergereck,812,5
Königsangerspitze,2052,6
Kompar,1729,2
Kolomannsberg,1111,3
Kolmnock,1832,6
Kolmkarspitze,2250,3
Kollmannsberg,946,4
Kolbner Spitz,1143,6
Kohlberg,700,4
Kohlberg,1539,8
Höherstein,1066,4
Kogel,1076,5
Koflernock,2018,6
Köderkopf,1933,6
Kochofen,1627,8
Kobesnock,1657,6
Knotenberg,2063,6
Knoten,1847,6
Klosterwappen,1941,5
Klosterkogel,1547,8
Klosterberg,732,9
Klomnock,2220,6
Kloben,1075,5
Kletschach Kogel,1308,8
Klenitzen,2441,6
Klemerbrett Kogel,2126,3
Klementkogel,1270,8
Kleinvenediger,3430,2
Kleinspitz,3071,2
Klein Pölven,1443,2
Kleingurpitschegg,2112,3
Kleines Reisseck,2591,6
Kleines Mureck,2196,3
Kleines Maiereck,1496,8
Kleines Hundshorn,1172,3
Kleines Hocheck,1839,8
Kleines Beil,1902,2
Kleiner Zeller Fels,993,5
Kleiner Woising,1246,4
Kleinwanner,2362,2
Kleiner Sulzberg,1196,5
Kleiner Spitzberg,1342,4
Kleiner Sonnleitstein,1455,5
Kleiner Sonnblick,2793,6
Kleiner Solstein,2385,2
Kleiner Schober,1423,8
Kleiner Reithpfadkogel,674,4
Kleiner Ramolkogel,3053,2
Kleiner Rabenstein,1902,8
Kleiner Priel,2100,4
Pal Piccolo,1580,10
Kleiner Ötscher,1527,5
Kleiner Neukogel,597,5
Kleiner Mitterberg,944,4
Kleiner Litzner,2709,1
Kleiner Lanschütz,2320,3
Kleiner Größtenberg,1699,4
Kleiner Koppenkarstein,2701,4
Kleiner Königstuhl,1853,3
Kleiner Koller,757,5
Kleiner Kögel Berg,1088,5
Kleiner Knallstein,2184,8
Kleiner Hochkasten,2198,8
Kleiner Grießstein,1846,8
Kleiner Geiger,1167,8
Kleiner Donnerkogel,1668,3
Kleiner Buchstein,987,8
Kleiner Buchberg,911,4
Kleiner Brieglers Berg,1934,8
Kleiner Bosruck,942,8
Kleiner Bösenstein,2065,8
Kleiner Bodenberg,369,5
Kleine Plischa,619,9
Kleine Leier,2471,6
Kleine Bischofsmütze,1652,3
Kleinerberg,1267,4
Kleinberg,963,2
Kleinalpe,1747,6
Klauskofel,1499,2
Klammerköpfe,2894,6
Klag Kogel,1380,8
Kitzsteinhorn,3093,3
Kitzstein,1987,3
Kitzbüheler Horn,1278,2
Kirchbühel,1658,8
Kirchwaldberg,1027,5
Kirchmayer Höhe,587,5
Kirchbichl,499,2
Kirchberg,852,8
Kirchberg,1547,2
Kindsbründl,579,4
Kimperngupf,1001,6
Kienstein,650,5
Kienstein,882,5
Kienleitenkopf,1460,2
Kieneck,1088,5
Kienberg,498,4
Kienbergkopf,727,10
Kienberg,1702,2
Große Kesselspitze,2310,3
Kesselkogel,2405,6
Kesseleck,2084,8
Kesseleck,2447,6
Kerzenmandl,1078,8
Kerschen Berg,556,5
Kerblgsöll,516,4
Kendlkopf,2282,3
Kemacher,2292,2
Creta della Cianevate,2657,10
Kellerjoch,2206,2
Croda Verde,2842,10
Kegelhörndl,1463,2
Katzenkopf,2322,2
Katzenhirn,1208,4
Kasten Spitze,1237,3
Kastenriegel,1012,8
Kastenkopf,1954,2
Kastal,2528,2
Kasparstein,697,6
kaserköpfl,2241,3
Kasereck,2207,3
Kasberg,1723,4
Karteis Kopf,2035,3
Karstein,1358,2
Karnereck,1679,3
Karner Berg,874,8
Karlstein,1018,5
Karlstein,767,8
Kärlspitze,2266,6
Karlspitz,1580,8
karlsberg,944,5
Karlonger Kogel,496,9
Karlnock,2176,6
Karl Hochkogel,1920,8
Karkopf,2754,2
Kareck,2399,6
Kapuzinerberg,641,3
Kapf,1074,1
Kanzel,1488,6
Kanzberg,1600,2
Kampstein,1324,5
Kampleck,2176,6
Kammerlinghorn,2041,10
Kaltenberg,718,5
Kaltenberg,2831,1
Kalte Mauer,1641,8
Kaltbründlberg,511,7
Kalkstein,1456,2
Kalkbretterkopf,2389,3
Kalkberg,468,5
Kalblsau,854,5
Kaiserschild,1671,8
Kaiser Kogel,1719,4
Kaiserburg,1868,6
Kaarles Spitze,2532,2
Juri Kogel,748,8
Jukbühel,1817,6
Juifen,1958,2
Judenköpfe,1968,2
Johannisberg,3434,6
Joelspitze,1738,2
Jochgrabenberg,647,5
Jochart Berg,1084,5
Jawornik,1121,6
Jauerling Gipfelkreuz,952,5
Jakobskogel,1616,5
Jäger Rast,984,6
Itonskopf,2032,1
Berg Isel,653,2
Irrsberg,840,3
Irrbühel,1311,8
Im Zöbel,1731,4
Im Törl,2049,6
Ilgner Hockeck,943,8
Ilgner Alpel,819,8
Hutterkogel,785,5
Huttererhöß,1833,4
Hütlberg,713,8
Hutberg,798,5
Hundstein,1945,3
Hundskogel,1135,4
Hundshöhe,2130,6
Hundeck,1902,3
Hühnersberg,2378,6
Hühnernock,1490,6
Hühnerberg,1508,2
Hubmerkogel,692,5
Hubberg,761,5
Ruckenkopf,2276,6
Hörndle,2539,2
Hongar,934,4
Hölzlberg,1558,8
Holzeck,1114,3
Höllkar,1077,3
Hollerberg,668,4
Schabenreitnerstein,1119,4
Höllenstein,426,5
Höllberg,1405,3
Hohe Zinken,1607,3
Hohe Zetz,782,8
Hohe Weichsel,1981,8
Hohe Trett,1401,8
Hohes Riff,2882,2
Hohes Licht,2513,2
Hohe Sinn,1568,8
Hohes Eck,631,5
Hohes Egg,1597,10
Hohe Schrott,1443,4
Hohe Salve,1687,2
Hohe Wasserfalle,2784,2
Hoher Tenn,3294,3
Hoher Sonnblick,2859,3
Hoher Seeblaskogel,3187,2
Hoher Sarstein,1851,8
Hoher Riffler,3079,2
Hoher Ochsenkogel,2213,4
Hoher Lindkogel,831,5
Hoher Krippenstein,1972,4
Hoher Krahberg,1085,4
Hoher Kamm,2322,2
Hohe Riffel,3297,3
Hoher Ifen,2201,1
Hoher Hengst,1004,5
Hoher Frassen,1943,1
Hohe Rehstatt,1027,4
Hoher Dachstein,2853,4
Hoher Bösring,2219,2
Hohe Rannach,935,8
Hoher Aifenspitze,2597,2
Hohe Penhab,1959,3
Hohenwartberg,425,5
Hohenwart,1368,8
Hohenwart,1804,6
Hohensteinmais Berg,341,9
Hohenstein,1124,5
Hoher Nock,1924,4
Hohe Nock,1704,3
Höhennock,2308,6
Hohenkareck,2405,6
Höheneck Kogel,1206,3
Hoheneck,1312,8
Höhenberg,873,5
Höhen Berg,1157,5
Hohe Mandling,717,5
Hohe Leier,2597,6
Hohe Kugel,1599,1
Hohe Krägen,1428,3
Hohe Hosswand,1890,4
Hohe Geige,3282,2
Hofereck,1051,3
Hofalpe,930,5
Hochzöbl,973,4
Hochzeiger,2221,2
Hochwurzen,1820,8
Hochwipfel,1794,6
Hochwildstelle,2123,8
Hochwies Kogel,1524,3
Hochwiese,737,4
Hochwein Berg,490,5
Hochwechsel,1499,8
Hochwaxeneck,1467,8
Hochwarter Höhe,1642,6
Hochwand,974,5
Hochwand,2639,2
Hochwand,2363,2
Hochwaldkopf,1404,2
Hochvogel,2528,10
Hochunnutz,1820,2
Hochturm,1950,8
Hoch Trötsch,856,8
Hochtristen,2454,6
Hochtratten,954,8
Hochtor,2289,8
Hochtor,2454,3
Hochthron,1413,3
Hochstein Kogel,878,5
Höchstein,1584,8
Hochstein,1472,2
Hochstadl,1732,8
Hochstadel Berg,1183,5
Hochstadel,2626,2
Hochsengs,1804,4
Hochschober,3045,2
Hochschlag,879,8
Hochschlag,1399,8
Hochsäul,1437,2
Hochsalm,1376,4
Hochriegel,754,5
Hochrettelstein,2051,8
Hochreichhart,2395,8
Hochrappenkopf,2338,10
Hochpyra,652,5
Hochpürschtling,1380,8
Hochplettspitz,1105,4
Hochplattig,2706,2
Hochobir,2070,6
Hochnörderer,2389,2
Hochnissl,2472,2
Hohe Munde,2571,2
Hochmühleck,1706,8
Hochmoos,1511,2
Hochmölbing,1810,8
Hochmaderer,2481,1
Hochleckenkogel,1667,4
Hochlantsch,1129,8
Hochkreuz,2584,6
Hochkranz,1293,3
Hochkönig,2830,3
Hochkogel,676,5
Hochkogel,1438,4
Hochkogel,993,4
Hochkogel,1671,8
Hochkogel,1227,8
Hochkogel,1176,8
Hochkogel,1835,3
Hochkesselkopf,2343,4
Hochkeil,1508,3
Hochkasern,1492,3
Hochkar,998,8
Hochkampl,1060,8
Hochkalmberg,1789,4
Hochjoch,824,4
Hochjoch,2476,1
Hochjoch,2765,2
Hochiss,2186,2
Hochhörndler Spitze,1731,2
Hochgschirr,2187,3
Hochgründeck,1679,3
Hochgründberg,1419,2
Hochgrößen,1740,8
Hochgrabe,2768,2
Hochgosch,588,6
Hochgolling,2821,3
Hochgölk,841,8
Hochglocker,1363,3
Hochgitzen,509,3
Collalto,3380,10
Hochfeld,2090,8
Hochfeld,2149,2
Hochfeind,1867,3
Höherberg,643,5
Höchenberg,1811,2
Hochegg,1713,3
Hochegg,2345,6
Hochedl,1421,4
Hocheder,2646,2
Hocheck,687,5
Hocheck,1256,8
Hocheck,1296,8
Hocheck,1199,8
Hocheck,1580,3
Hocheck,2053,3
Hocheck,2552,2
Hochegg,2214,2
Hocheben Kogel,608,5
Hochbühel,790,4
Hochbuchberg,1243,4
Hochbrand,1107,4
Hochblaser,1441,8
Hochberg,639,5
Hochberg,967,1
Hocharn,3018,6
Hochanger,1669,8
Hochanger,854,8
Hochälpele,1443,1
Hochalpel,1214,5
Hochalpe,1465,8
Hochalmspitze,3328,6
Hobelsberg,707,4
Hirzkarkopf,2522,3
Hirzer,2255,2
Hirzberg,1944,8
Hirschwaldstein,1074,4
Hirschkopf,1933,3
Hirschkopf,1773,3
Hirsch Kogel,905,3
Hirschenstein,961,4
Hirschenstein,849,9
Hirschenspitz,2434,1
Hirscheggeralpe,1670,6
Hirschberg,946,1
Hirschberg,1807,1
Hippold Spitze,2450,2
Hintzing,777,4
Hinterunnutz,1768,2
Hintere Steinkar Spitze,2434,6
Hinteres Sonnwendjoch,1832,2
Hinteres Modereck,2690,6
Hinteres Freieck,2005,3
Hinterer Schwarzmooskogel,1409,8
Hinterer Satzgrat,2724,2
Hintere Rendelspitze,2700,2
Hintereck,794,8
Hinter Berg,997,4
Hinteralpe,946,5
Hindl Berg,642,4
Himmel,814,8
Himbeerstein,712,8
Hilmersberg,2365,6
Hifelwand,1319,3
Hieselegg,1114,8
Hieselberg,620,4
Hiesberg,372,5
Hiasbauerhöhe,1318,8
Hexenkopf,2821,2
Heukuppe,1526,8
Heukareck,1382,3
Heuberg,384,5
Heuberg,888,3
Heuberg,746,9
Herzogberg,1266,8
Herzogberg,941,8
Herzogberg,374,6
Hermannskogel,529,7
Heretkofel,2000,2
Hennesteck,1137,5
Hennespitze,2472,2
Henner Kogel,1370,8
Hennebergspitzen,2756,2
Hengstlberg,616,5
Hengst Berg,566,5
Heiterberg,2140,1
Heidriegel,658,9
Hehenberg,958,4
Hegerberg,650,5
Hegerberg,809,5
Hedlalpe,1077,8
Hechelstein,1306,8
Hauser Kaibling,1670,8
Haunsberg,819,4
Haugstein,895,4
Hauerkogl,2195,2
Hauer Kogel,1257,8
Hauereck,1236,8
Hasseck,1563,3
Hasenriedl,596,5
Haselstein,890,5
Hartkaser,1433,2
Harting,1186,8
Hartberg,659,5
Hanserkogel,718,8
Hahnbaum,1155,4
Hangspitze,1691,1
Haneggkogel,707,8
Handreute,731,1
Handlesberg,1068,5
Handalpe,1801,8
Hammerleck,644,5
Hammelberg,328,9
Hamberg,2037,2
Haltersitz,1349,4
Halteis,653,4
Halserberg,1451,8
Hainboden,608,5
Haiger Kogel,744,5
Haidnerhöhe,2007,6
Haiden Berg,576,5
Haidach,1017,8
Hahnreich,1433,6
Hahnleskopf,2037,2
Hahnenkamm,1702,2
Hahneckkogel,1618,3
Hahlkogl,1839,2
Hagleiten,2116,3
Hafner,2487,6
Haderniggkogel,1085,8
Hacklplatten,1756,3
Habichtkogel,1128,4
Habicht,3211,2
Haberkogel,594,5
Haberg,400,5
Haberfeldkuppe,1542,5
Haberfeld,306,5
Guttenberg,789,5
Gurtisspitze,1721,1
Gursgentörl,2307,6
Gurpitschegg,2101,3
Gurlspitze,882,3
Gumriaul,2876,2
Gumpeneck,1404,8
Guggenberg,456,4
Großer Quenkogel,1025,4
Gstoder,1744,3
Gstatterstein,1037,8
Gspranggupf,688,4
Gsollriedel,1310,5
Gsollberg,585,5
Gsengplatte,1307,3
Gschwandtnerberg,1509,3
Gschirreck,1339,4
Gschieskogel,1116,8
Gsahlkopf,2809,2
Grünstein,2515,2
Grünkogel,1612,8
Gründegg,2124,3
Grünberg,561,4
Grünberg,981,4
Grünberg,1234,4
Grünberg,1559,3
Grünalmkogel,1801,4
Grumauerberg,2285,2
Grubigstein,2171,2
Grubhörndl,1392,3
Gruberhorn,1625,3
Grubeck,1105,8
Großwand,1598,3
Großvenediger,3626,2
Grösstenberg,1108,4
Rohrauer Größtenberg,1763,4
Gross Pölven,998,2
Großglockner,3736,2
Grosses Mureck,2196,3
Großes Maiereck,1496,8
Grosses Hundshorn,1532,3
Großes Hocheck,1839,8
Großes Beil,2267,2
Große Sandspitze,2594,2
Grosser Zellerhut,1393,8
Grosser Woisgenkopf,2572,6
Grosser Traunstein,1402,3
Grosser Tanzkogel,1849,2
Grosser Sulzberg,1110,5
Grosser Stier Berg,658,4
Große Steinwand,1299,8
Großer Spitzberg,1352,4
Großer Sonnstein,1002,4
Grosser Sonnleitstein,1455,5
Grosser Sonnblick,2829,6
Grosser Solstein,2513,2
Grosser Seekopf,977,8
Großer Schwarzkogel,1815,4
Großer Schober,1423,8
Grosser Scheiben Berg,1225,8
Großer Rettenstein,2118,2
Grosser Reithpfadkogel,721,4
Rauchschober,1387,8
Grosser Rabenstein,1902,8
Großer Pyhrgas,2078,4
Grosser Proles,1249,8
Grosser Priel,2448,4
Grosser Pleisslingkeil,2261,3
Grosser Pfaff,1156,8
Grosser Peilstein,979,5
Nörderberg,2658,2
Grosser Neukogel,841,5
Grosser Lanschütz,2326,3
Grosser Lafatscher,1998,2
Großer Größtenberg,1710,4
Großer Koppenkarstein,2346,4
Großer Königskogel,1328,8
Grosser Koller,730,5
Großer Kegel,1108,5
Großer Knallstein,2083,8
Großer Kitzberg,458,5
Grosser Ingent,2386,2
Großer Höllkogel,1850,4
Hochkogel,1082,4
Grosser Hochkasten,1963,8
Grosser Hetzkogel,1323,5
Großer Gsollberg,1726,8
Grosser Grössenberg,1103,5
Grimming,2314,8
Großer Grießstein,1846,8
Grosser Griedlkopf,2467,6
Grosser Grakofl,2289,6
Göller,1328,5
Grosser Geiger,1167,8
Großer Geiger,2760,2
Großer Galtenberg,2004,2
Großer Geißkopf,649,5
Großer Friedrichskopf,3044,6
Grosser Fögenberg,1044,5
Grosser Donnerkogel,1668,3
Großer Buchstein,2192,8
Bosruck,1747,4
Großer Bösenstein,2065,8
Großer Bolzenberg,310,5
Großer Bodenberg,494,5
Grosser Berg,356,5
Großer Archenkopf,2074,3
Grosser Alpkogel,1246,4
Grosse Plischa,661,9
Grossen Berg,752,5
Größenberg,598,5
Grössenberg,701,5
Grössenberg,1560,8
Großer Looskogel,1096,8
Grosseck,2394,3
Grosse Bischofsmütze,2148,3
Grosse Aualm,1639,2
Hohe Arche,2272,3
Hohe Dirn,1096,4
Gross Buchberg,911,4
Großbodenkopf,2624,2
Gross Alterstein,918,4
Grohman Berg,888,5
Grobriedel,1279,3
Grifitzbühel,1709,6
Rietzer Grieskogel,2646,2
Grieskareck,1939,3
Grieser Grieskogel,2671,2
Griepl Spitze,1945,2
Gridelegg,1919,6
Grestner Hochkogel,735,5
Greimkogel,670,9
Greifenberg,1920,8
Gregerlenock,2105,8
Grebenzen,1811,8
Graunock,2044,8
Graukogel,2196,3
Grauer Stein,921,8
Gratlspitze,1868,2
Grasteneck,712,8
Graslitzen,1852,6
Graskopf,2506,6
Graschlitzen,500,6
Granitzl,1656,3
Grafische Tristen,2262,6
Grafenwegerhöhe,1218,6
Grabenalpe,1207,5
Krahberg,2189,2
Gosskogel,1016,8
Gosseck,1363,6
Gösing,617,5
Gomoarkopf,2477,2
Golzentipp,2218,2
Golz,1902,6
Golsernock,1540,6
Golitschspitze,2096,3
Goldeck,2021,6
Goldeck,1069,8
Gölbner,2801,2
Göblberg,710,4
Glutserberg,1547,8
Glockturm,3305,2
Glöcknerin,2230,3
Glockhaus,3048,2
Gleinalpe,1557,8
Gleichenberger Kogeln,594,8
Glatzberg,830,5
Glasfelderkopf,2206,10
Glasen Berg,842,4
Glanzenriegel,620,5
Glanzberg,1269,8
Glantschegg,1160,6
Glantererkogel,1277,2
Gjaidtroghöhe,2688,6
Girlitzspitze,1791,6
Gippel,1600,5
Gimpel,2004,2
Gibler Kogel,464,4
Gfällkogel,1436,8
Gfälleralpe,1282,5
Gfäll,1110,8
Gespitzter Riegel,503,5
Geserberg,771,1
Geschriebenstein,880,9
Gerzkopf,1550,3
Gerstinger Joch,1768,2
Gerstbreinstein,981,8
Gernkogel,2185,3
Gerner Berg,583,4
Gern,1609,3
Gerloskögerl,1463,2
Gerlitzen,1846,6
Gerhardstein,1165,3
Gensgitsch,2257,3
Gamskofel,1672,6
Gemeindealpe,962,5
Gelderkogel,933,8
Geissteinkopf,1837,3
Kosiak,1991,6
Geisruck,752,5
Geißenberg,824,5
Geigenkopf,2001,3
Geiersspitz,2248,6
Geierkogel,1431,2
Geiereck,1781,3
Gehrenspitzen,2078,2
Gehart,905,8
Gedrechter,2044,2
Gaugen,2084,6
Gatschkopf,2907,2
Gatschkopf,2474,2
Gatschberg,1102,8
Gasslkogel,1365,4
Garschkogel,1003,5
Gartnerwand,2340,2
Gartnerkofel,2058,6
Gartenzinken,1040,4
Gamsstein,1078,4
Gamsplan,1872,4
Gamskopf,2769,2
Gamskogl,1969,2
Gamskögerl,1824,3
Gamskogel,1690,3
Gamskofel,2431,6
Gamskarl Spitze,2125,2
Gamskarlspitze,2662,6
Gamskarkogel,2132,3
Gamsjoch,2400,2
Gamshag,1986,2
Gamsfeld,1996,3
Rauhkogel,1219,4
Gampenkogel,1711,2
Gamolnig Spitze,2535,6
Gametz Kogl,2637,2
Galzig,2028,2
Gallruthkopf,2960,2
Galgenberg,763,8
Geißstein,1253,4
Geißstein,2009,3
Gaisspitze,2360,2
Gaisruck,924,5
Geißkopf,1193,1
Geißhörndl,1099,4
Gaishorn,2026,2
Geißberg,604,5
Gaisberg,1231,4
Gaisberg,1293,3
Gaisberg,1389,2
Gaipahöhe,1753,6
Gahberg,785,4
Gafluner Winterjöchl,2491,1
Gabühel,1279,3
Gabesitten,2552,2
Futterkogel,1183,5
Fussmeisel Berg,388,5
Fürstkogel,1401,8
Firstkogel,2046,2
Furgler,2447,2
Fundelkopf,2365,1
Fulseck,1896,3
Fuchskogel,1271,8
Fuchsegg,836,8
Frudigerjoch,1987,2
Frommes,2221,2
Friesling,897,5
Freudenberg,727,6
Fressenberg,891,8
Fressenberg,1237,8
Freiing Spitze,2280,2
Freihut,2482,2
Setitsche,1898,6
Fraunnock,2339,3
Frauentaleck,1960,2
Frauenkogel,664,8
Frauenberg,292,5
Frauenalpe,1667,8
Forsterkogel,778,4
Forerberg,377,5
Forchkogel,845,8
Fölzstein,1764,8
Föllbaum Berg,607,5
Foiskarkogel,2909,3
Fobis,1534,8
Flugkopf,1991,3
Fluchtkogel,3356,2
Floning,1504,8
Floch,1899,2
Fleischbank,1987,2
Fleischbank,1656,6
Fleiding,1732,2
Finstereck,1308,8
Monte Lodin,1140,10
Filzkogel,1355,3
Filbling,1029,3
Feuersteinberg,507,5
Feuerstein,2112,1
Feuerstätterkopf,1623,1
Feuer am Bichl,1658,2
Feuchter Berg,1356,5
Feuchtental,741,5
Ferlacher Horn,1743,6
Fensteralpe,1148,8
Feldl,1449,8
Fellhorn,1466,2
Feldalpenhorn,1869,2
Feiglkogel,762,5
Feiden,1121,5
Feichtkogel,1432,8
Faster Berg,323,5
Fanninghöhe,1774,3
Faltergarten,1696,2
Falkenstein,941,4
Falken,1387,8
Faistenauer Schafberg,1149,4
Fahrnaugupf,1204,4
Fahrenberg,1052,4
Fadenkamp,1640,8
Exenberg,1044,8
Eselsberg,736,5
Eschenkogel,655,5
Eschenauerkogel,1208,3
Erzberg,948,8
Erlspitze,2354,2
Erlakogel,1518,4
Erharthöhe,1021,8
Erdegg,1314,8
Ennseck,1069,8
Ennsbaum,869,8
Enge Wurst,1421,5
Emberg,705,8
Elmberg,1629,8
Elferkogel,1688,3
Elendberg,2452,8
Eiskögele,3354,2
Eiskogel,2225,3
Eiskarlspitze,2199,2
